Unnamed: 0,Canonicalized SMILES,Standardized SMILES,Canonicalized Taste,Original Labels,Source,is_multiclass,Canonical Tautomer SMILES,InChiKey,multi_taste
14207,C=C1CCC=C(C)CCC2C1CC2(C)C,C=C1CCC=C(C)CCC2C1CC2(C)C,bitter,bitter,phytocompounds_db,1,C=C1CCC=C(C)CCC2C1CC2(C)C,NPNUFJAVOOONJE-UHFFFAOYSA-N,1
14208,C=CC(=C)CCC=C(C)CCC=C(C)C,C=CC(=C)CCC=C(C)CCC=C(C)C,undefined,"citrus, green",flavor_db,1,C=CC(=C)CCC=C(C)CCC=C(C)C,JSNRRGGBADWTMC-UHFFFAOYSA-N,1
14209,C=CC(=C)CCC=C(C)CCC=C(C)C,C=CC(=C)CCC=C(C)CCC=C(C)C,sweet,"wood, citrus, sweet, woody",flavor_db,1,C=CC(=C)CCC=C(C)CCC=C(C)C,JSNRRGGBADWTMC-UHFFFAOYSA-N,1
14210,C=CC(C)(CCC=C(C)C)OC=O,C=CC(C)(CCC=C(C)C)OC=O,undefined,"Bitter/Sweet, Multitaste",chemtastes_db,1,C=CC(C)(CCC=C(C)C)OC=O,JZOCDHMHLGUPFI-UHFFFAOYSA-N,1
14211,C=CC(C)(CCC=C(C)C)OC=O,C=CC(C)(CCC=C(C)C)OC=O,bitter,"coriander, citrus, rose, green, bergamot, herbal, bitter, fruity",flavor_db,1,C=CC(C)(CCC=C(C)C)OC=O,JZOCDHMHLGUPFI-UHFFFAOYSA-N,1
14212,C=CC(C)(CCC=C(C)C)OC=O,C=CC(C)(CCC=C(C)C)OC=O,sweet,"Bitter/Sweet, Multitaste",chemtastes_db,1,C=CC(C)(CCC=C(C)C)OC=O,JZOCDHMHLGUPFI-UHFFFAOYSA-N,1
14213,C=CC(C)(O)CCC=C(C)C,C=CC(C)(O)CCC=C(C)C,sweet,"lemon, citrus, orange, floral, sweet, woody, blueberry, bois de rose, lavender, flower, green",flavor_db,1,C=CC(C)(O)CCC=C(C)C,CDOSHBSSFJOMGT-UHFFFAOYSA-N,1
14214,C=CC(C)(O)CCC=C(C)C,C=CC(C)(O)CCC=C(C)C,undefined,"fresh, floral, woody, natural, lavender, deep",flavor_db,1,C=CC(C)(O)CCC=C(C)C,CDOSHBSSFJOMGT-UHFFFAOYSA-N,1
14215,C=CC(C)(O)CCC1C(C)(O)CCC2C(C)(C)CCCC21C,C=CC(C)(O)CCC1C(C)(O)CCC2C(C)(C)CCCC21C,sweet,"amber, clary, sweet, woody, balsam, weedy",flavor_db,1,C=CC(C)(O)CCC1C(C)(O)CCC2C(C)(C)CCCC21C,XVULBTBTFGYVRC-UHFFFAOYSA-N,1
14216,C=CC(C)(O)CCC1C(C)(O)CCC2C(C)(C)CCCC21C,C=CC(C)(O)CCC1C(C)(O)CCC2C(C)(C)CCCC21C,bitter,bitter,phytocompounds_db,1,C=CC(C)(O)CCC1C(C)(O)CCC2C(C)(C)CCCC21C,XVULBTBTFGYVRC-UHFFFAOYSA-N,1
